id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
jjgp,meet,i,en,359.43,1654.76,5892.73,482.26,399.53,292.74,334.74,287.89,2521.72,1883.87,621.74,2616.71,629.77
jjgp,beat,i,en,317.11,2537.10,219.51,306.67,294.10,281.70,310.16,392.90,2510.43,2540.43,2584.82,2544.28,2505.53
jjgp,feet,i,en,343.44,2568.71,207.34,323.90,351.49,384.20,327.90,329.70,2507.35,2598.82,2585.25,2586.06,2566.06
jjgp,seat,i,en,336.40,2555.10,190.33,333.85,358.70,349.44,294.68,345.33,2566.88,2591.39,2580.65,2511.05,2525.52
jjgp,heat,i,en,326.95,2600.09,86.69,310.51,317.86,353.98,326.58,325.81,2589.03,2591.20,2609.50,2600.53,2610.21
jjgp,fleet,i,en,332.57,2308.04,2385.42,325.93,306.31,330.81,344.71,355.10,2550.84,1473.22,2602.26,2488.26,2425.63
jjgp,moss,a,en,623.45,945.36,144.37,603.56,613.49,626.09,634.69,639.43,908.18,913.47,917.67,951.22,1036.29
jjgp,bot,a,en,622.08,1026.57,382.20,618.19,623.62,628.47,642.53,597.57,928.54,941.80,946.49,1013.35,1302.68
jjgp,fought,a,en,620.29,1032.46,427.44,609.70,615.20,615.38,664.44,596.73,922.42,926.53,939.36,1045.66,1328.34
jjgp,sought,a,en,619.03,1054.28,183.36,614.93,626.24,660.50,637.64,555.85,1068.53,1036.32,1035.51,1057.17,1073.86
jjgp,caught,a,en,625.40,1066.47,286.87,627.75,635.63,649.79,654.11,559.71,985.00,985.58,1007.42,1139.46,1214.87
jjgp,brought,a,en,649.47,1130.82,389.03,650.15,660.16,674.31,675.75,586.98,1018.23,1022.41,1039.71,1199.42,1374.30
jjgp,moot,u,en,329.45,955.62,436.12,397.46,321.42,318.64,303.62,306.10,1028.35,915.39,856.55,884.09,1093.75
jjgp,boot,u,en,341.12,1111.38,372.81,353.27,331.73,321.66,351.85,347.08,1009.22,1047.08,1011.78,1187.20,1301.63
jjgp,food,u,en,351.71,1221.73,719.43,350.22,341.66,340.36,345.67,380.64,1241.42,1166.86,1036.28,1115.61,1548.49
jjgp,soothe,u,en,335.27,1268.37,551.72,343.89,337.95,330.08,326.16,338.28,1477.03,1238.36,1254.89,1110.76,1260.78
jjgp,cooed,u,en,325.45,1075.87,479.94,328.51,316.77,314.92,322.26,344.77,1028.26,1027.35,987.31,965.84,1370.60
jjgp,dude,u,en,371.40,1369.74,915.18,417.87,403.01,343.58,343.36,349.17,1789.60,1531.56,1102.92,1101.22,1323.40
jjgp,mis,i,sp,433.65,2188.14,4185.41,456.29,463.61,477.95,329.51,440.92,2515.60,2568.66,2626.31,597.49,2632.66
jjgp,bis,i,sp,365.43,2479.97,124.57,351.70,370.70,361.91,348.06,394.77,2442.32,2460.23,2473.23,2501.92,2522.16
jjgp,pis,i,sp,300.49,2487.73,178.34,274.41,274.31,290.14,329.81,333.77,2429.52,2459.40,2535.86,2520.76,2493.10
jjgp,cito,i,sp,350.86,2487.95,260.39,350.38,339.21,339.15,361.77,363.78,2411.96,2531.57,2564.25,2472.40,2459.57
jjgp,fito,i,sp,350.12,2465.69,231.11,369.08,371.66,346.26,383.79,279.78,2468.98,2488.05,2476.88,2495.70,2398.82
jjgp,quito,i,sp,358.66,2530.10,460.68,364.96,366.55,334.71,431.08,296.02,2491.91,2521.06,2505.80,2652.91,2478.83
jjgp,mas,a,sp,644.83,1342.14,176.16,656.75,659.16,651.97,624.17,632.12,1310.60,1338.15,1323.26,1317.68,1420.99
jjgp,vas,a,sp,699.78,1259.61,212.38,696.52,716.43,706.89,700.14,678.91,1203.87,1238.30,1267.30,1238.86,1349.72
jjgp,pasa,a,sp,710.78,1359.25,111.96,722.54,736.68,716.49,692.37,685.80,1321.75,1332.08,1369.56,1373.09,1399.79
jjgp,sala,a,sp,819.81,1432.03,170.87,769.24,844.44,848.11,846.19,791.07,1404.17,1423.33,1418.14,1441.26,1473.26
jjgp,fama,a,sp,726.06,1277.57,166.61,768.88,776.93,725.81,690.21,668.48,1294.45,1311.21,1268.01,1276.50,1237.67
jjgp,cama,a,sp,766.14,1296.67,197.68,815.29,818.53,750.37,720.07,726.45,1361.27,1287.53,1283.36,1287.67,1263.51
jjgp,musa,u,sp,339.62,707.88,227.94,368.53,345.85,319.47,329.13,335.13,668.64,664.52,697.53,682.17,826.54
jjgp,bulto,u,sp,342.00,770.94,174.58,337.44,341.42,340.70,342.74,347.70,718.18,721.98,740.73,782.93,890.89
jjgp,puso,u,sp,330.67,744.51,182.44,331.58,329.24,329.33,332.48,330.72,694.12,684.40,693.71,793.57,856.76
jjgp,supo,u,sp,338.60,815.90,239.57,355.56,333.82,345.33,334.53,323.78,907.18,753.51,809.19,800.57,809.05
jjgp,fumo,u,sp,341.04,664.85,118.60,356.71,354.11,346.82,328.01,319.52,713.22,701.54,692.68,614.30,602.48
jjgp,cura,u,sp,334.77,767.96,422.45,331.08,319.84,324.77,331.52,366.66,670.22,647.98,666.42,813.14,1042.03
